date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:00	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1680527188-ssl-df	https://doriantardieu.netlify.app/robots.txt		(from )
14:48:00	31270/31270	---MCZ	200	added ('OK')	text/html	etag:%22421bfa863637574dde25f676851871c8-ssl-df%22	https://doriantardieu.netlify.app/	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/index.html	(from )
14:48:01	163053/163053	---M--	200	added ('OK')	image/png	etag:%226f44a74e2913938f3360d691d09501b6-ssl%22	https://doriantardieu.netlify.app/images/LogoDArgente_detourer.png	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/images/LogoDArgente_detourer.png	(from https://doriantardieu.netlify.app/)
14:48:01	58960/58960	---MCZ	200	added ('OK')	text/css	etag:%221f84e83f0ba546c087bdffda0964397a-ssl-df%22	https://doriantardieu.netlify.app/css/index.css	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/css/index.css	(from https://doriantardieu.netlify.app/)
14:48:01	2596/2596	---M-Z	200	added ('OK')	text/css	etag:%22732dd43dbf20c0cd7ba6c983d8c78c38-ssl-df%22	https://doriantardieu.netlify.app/css/font.css	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/css/font.css	(from https://doriantardieu.netlify.app/)
14:48:02	1211/1211	---M--	301	error ('Moved%20Permanently')	text/html	etag:%229dad495a6435b904587c02670365ea40-ssl-df%22	https://doriantardieu.netlify.app/Patriarche.html	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/Patriarche.3.delayed	(from https://doriantardieu.netlify.app/)
14:48:02	2710/2710	---M-Z	200	added ('OK')	text/html	etag:%229dad495a6435b904587c02670365ea40-ssl-df%22	https://doriantardieu.netlify.app/patriarche	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/patriarche.html	(from https://doriantardieu.netlify.app/)
14:48:03	59067/59067	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-e6bb%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.2.6/gsap.min.js	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/cdnjs.cloudflare.com/ajax/libs/gsap/3.2.6/gsap.min.js	(from https://doriantardieu.netlify.app/)
14:48:03	34826/34826	---M-Z	200	added ('OK')	application/javascript	etag:W/%22880a-Q2veM4hfl8L+BsC7MiDjJqCDThY%22	https://cdn.jsdelivr.net/npm/@emailjs/browser@3/dist/email.min.js	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/cdn.jsdelivr.net/npm/@emailjs/browser@3/dist/email.min.js	(from https://doriantardieu.netlify.app/)
14:48:03	576/576	---M--	200	added ('OK')	image/png	etag:%223984969e2db6b1d9b294ab47f9226b24-ssl%22	https://doriantardieu.netlify.app/images/instagram%20logo.png	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/images/instagram%20logo.png	(from https://doriantardieu.netlify.app/)
14:48:03	310/310	---M--	200	added ('OK')	image/png	etag:%223fcfcac8e57ff2db1d5f170722555e6c-ssl%22	https://doriantardieu.netlify.app/images/linkedin%20logo.png	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/images/linkedin%20logo.png	(from https://doriantardieu.netlify.app/)
14:48:04	13195/13195	---M--	200	added ('OK')	image/png	etag:%2258b95f22481a9a550b6a522d03859341-ssl%22	https://doriantardieu.netlify.app/images/ytb.png	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/images/ytb.png	(from https://doriantardieu.netlify.app/)
14:48:04	114141/114141	---M--	200	added ('OK')	image/jpeg	etag:%2227d9ad3abc51f91f9e688b6a6e5e6e72-ssl%22	https://doriantardieu.netlify.app/images/photoProfil.jpg	C:/Users/tvz/Desktop/portfolio/portfolio/hrteh/doriantardieu.netlify.app/images/photoProfil.jpg	(from https://doriantardieu.netlify.app/)
